field,type
body_mass,g
calcar_length,mm
ear_length,mm
ear_length_measured_from,str
embryo_size,mm
embryo_count,int
embryo_count_left,int
embryo_count_right,int
embryo_count_females,int
embryo_count_males,int
embryo_count_side_1,int
embryo_count_side_2,int
forearm_length,mm
gonad_description,str
gonad_length,mm
gonad_width,mm
hind_foot_length,mm
hind_foot_length_includes,str
lactation_state,str
life_stage,str
nipple_count,int
nipple_state,str
ovary_description,str
ovary_length,mm
ovary_length_2,mm
ovary_width,mm
ovary_width_2,mm
placental_scars_present,bool
placenta_scar_count,int
placental_scars_left_side,int
placental_scars_right_side,int
placental_scars_side_1,int
placental_scars_side_2,int
placental_scars_both_sides,int
pregnancy_state,str
sex,str
tail_length,mm
testis_description,str
testis_length,mm
testis_length_2,mm
testis_width,mm
testis_width_2,mm
thumb_length,mm
thumb_length_measured_from,str
total_length,mm
tragus_length,mm
vagina_state,str
