label,pattern,side
side,both side,both
side,both sides,both
side,both,both
side,each side,both
side,emb-l,left
side,emb-r,right
side,f,female
side,fem,female
side,female,female
side,females,female
side,l side,left
side,l side,left
side,l x,left
side,l,left
side,l. side,left
side,l. x,left
side,l.,left
side,left side,left
side,left,left
side,lf side,left
side,lf,left
side,lf. side,left
side,lf.,left
side,lft side,left
side,lft,left
side,lft. side,left
side,lft.,left
side,lt,left
side,lt.,left
side,lx,left
side,m,male
side,male,male
side,males,male
side,on left,left
side,on right,right
side,r side,right
side,r x,right
side,r,right
side,r. side,right
side,r. x,right
side,r.,right
side,right side,right
side,right,right
side,rt,right
side,rt side,right
side,rt. side,right
side,rt.,right
side,rx,right
side,rx.,right
embryo_key,emb
embryo_key,emb.
embryo_key,embr
embryo_key,embr.
embryo_key,embroys
embryo_key,embrs
embryo_key,embrs.
embryo_key,embryo
embryo_key,embryonic
embryo_key,embryos
embryo_key,embryp
embryo_key,embryps
embryo_key,embs
embryo_key,embs.
embryo_key,embyro
embryo_key,embyros
embryo_key,fetus
embryo_key,fetuses
embryo_key,foeti
no,no
no,none
no,not
no,non
yes,found
yes,near term
yes,near-term
yes,nearterm
len_key,embx
len_key,embsx
