label,pattern,factor_cm
len_key,c.r,
len_key,c.r len,
len_key,c.r length,
len_key,c.r.,
len_key,c.r. len,
len_key,c.r. length,
len_key,c.r.len,
len_key,c.r.length,
len_key,c.rlen,
len_key,c.rlength,
len_key,cr,
len_key,cr len,
len_key,cr length,
len_key,cr rump,
len_key,cr rump len,
len_key,cr rump length,
len_key,cr rumplen,
len_key,cr rumplength,
len_key,cr to rump,
len_key,cr to rump len,
len_key,cr to rump length,
len_key,cr to rumplen,
len_key,cr to rumplength,
len_key,cr-rump,
len_key,cr-rump len,
len_key,cr-rump length,
len_key,cr-rumplen,
len_key,cr-rumplength,
len_key,cr.,
len_key,cr. len,
len_key,cr. length,
len_key,cr.len,
len_key,cr.length,
len_key,cr_rump,
len_key,cr_rump len,
len_key,cr_rump length,
len_key,cr_rumplen,
len_key,cr_rumplength,
len_key,crl,
len_key,crl len,
len_key,crl length,
len_key,crlen,
len_key,crlength,
len_key,crllen,
len_key,crllength,
len_key,crown rump,
len_key,crown rump len,
len_key,crown rump length,
len_key,crown rumplen,
len_key,crown rumplength,
len_key,crown to rump,
len_key,crown to rump len,
len_key,crown to rump length,
len_key,crown to rumplen,
len_key,crown to rumplength,
len_key,crown-rump,
len_key,crown-rump len,
len_key,crown-rump length,
len_key,crown-rumplen,
len_key,crown-rumplength,
len_key,crown_rump,
len_key,crown_rump len,
len_key,crown_rump length,
len_key,crown_rumplen,
len_key,crown_rumplength,
len_key,crownrump,
len_key,crownrump len,
len_key,crownrump length,
len_key,crownrumplen,
len_key,crownrumplength,
len_key,crrump,
len_key,crrump len,
len_key,crrump length,
len_key,crrumplen,
len_key,crrumplength,
len_key,embryo c.r,
len_key,embryo c.r len,
len_key,embryo c.r length,
len_key,embryo c.r.,
len_key,embryo c.r. len,
len_key,embryo c.r. length,
len_key,embryo c.r.len,
len_key,embryo c.r.length,
len_key,embryo c.rlen,
len_key,embryo c.rlength,
len_key,embryo cr,
len_key,embryo cr len,
len_key,embryo cr length,
len_key,embryo cr rump,
len_key,embryo cr rump len,
len_key,embryo cr rump length,
len_key,embryo cr rumplen,
len_key,embryo cr rumplength,
len_key,embryo cr to rump,
len_key,embryo cr to rump len,
len_key,embryo cr to rump length,
len_key,embryo cr to rumplen,
len_key,embryo cr to rumplength,
len_key,embryo cr-rump,
len_key,embryo cr-rump len,
len_key,embryo cr-rump length,
len_key,embryo cr-rumplen,
len_key,embryo cr-rumplength,
len_key,embryo cr.,
len_key,embryo cr. len,
len_key,embryo cr. length,
len_key,embryo cr.len,
len_key,embryo cr.length,
len_key,embryo cr_rump,
len_key,embryo cr_rump len,
len_key,embryo cr_rump length,
len_key,embryo cr_rumplen,
len_key,embryo cr_rumplength,
len_key,embryo crl,
len_key,embryo crl len,
len_key,embryo crl length,
len_key,embryo crlen,
len_key,embryo crlength,
len_key,embryo crllen,
len_key,embryo crllength,
len_key,embryo crown rump,
len_key,embryo crown rump len,
len_key,embryo crown rump length,
len_key,embryo crown rumplen,
len_key,embryo crown rumplength,
len_key,embryo crown to rump,
len_key,embryo crown to rump len,
len_key,embryo crown to rump length,
len_key,embryo crown to rumplen,
len_key,embryo crown to rumplength,
len_key,embryo crown-rump,
len_key,embryo crown-rump len,
len_key,embryo crown-rump length,
len_key,embryo crown-rumplen,
len_key,embryo crown-rumplength,
len_key,embryo crown_rump,
len_key,embryo crown_rump len,
len_key,embryo crown_rump length,
len_key,embryo crown_rumplen,
len_key,embryo crown_rumplength,
len_key,embryo crownrump,
len_key,embryo crownrump len,
len_key,embryo crownrump length,
len_key,embryo crownrumplen,
len_key,embryo crownrumplength,
len_key,embryo crrump,
len_key,embryo crrump len,
len_key,embryo crrump length,
len_key,embryo crrumplen,
len_key,embryo crrumplength,
len_key,embryoc.r,
len_key,embryoc.r len,
len_key,embryoc.r length,
len_key,embryoc.r.,
len_key,embryoc.r. len,
len_key,embryoc.r. length,
len_key,embryoc.r.len,
len_key,embryoc.r.length,
len_key,embryoc.rlen,
len_key,embryoc.rlength,
len_key,embryocr,
len_key,embryocr len,
len_key,embryocr length,
len_key,embryocr rump,
len_key,embryocr rump len,
len_key,embryocr rump length,
len_key,embryocr rumplen,
len_key,embryocr rumplength,
len_key,embryocr to rump,
len_key,embryocr to rump len,
len_key,embryocr to rump length,
len_key,embryocr to rumplen,
len_key,embryocr to rumplength,
len_key,embryocr-rump,
len_key,embryocr-rump len,
len_key,embryocr-rump length,
len_key,embryocr-rumplen,
len_key,embryocr-rumplength,
len_key,embryocr.,
len_key,embryocr. len,
len_key,embryocr. length,
len_key,embryocr.len,
len_key,embryocr.length,
len_key,embryocr_rump,
len_key,embryocr_rump len,
len_key,embryocr_rump length,
len_key,embryocr_rumplen,
len_key,embryocr_rumplength,
len_key,embryocrl,
len_key,embryocrl len,
len_key,embryocrl length,
len_key,embryocrlen,
len_key,embryocrlength,
len_key,embryocrllen,
len_key,embryocrllength,
len_key,embryocrown rump,
len_key,embryocrown rump len,
len_key,embryocrown rump length,
len_key,embryocrown rumplen,
len_key,embryocrown rumplength,
len_key,embryocrown to rump,
len_key,embryocrown to rump len,
len_key,embryocrown to rump length,
len_key,embryocrown to rumplen,
len_key,embryocrown to rumplength,
len_key,embryocrown-rump,
len_key,embryocrown-rump len,
len_key,embryocrown-rump length,
len_key,embryocrown-rumplen,
len_key,embryocrown-rumplength,
len_key,embryocrown_rump,
len_key,embryocrown_rump len,
len_key,embryocrown_rump length,
len_key,embryocrown_rumplen,
len_key,embryocrown_rumplength,
len_key,embryocrownrump,
len_key,embryocrownrump len,
len_key,embryocrownrump length,
len_key,embryocrownrumplen,
len_key,embryocrownrumplength,
len_key,embryocrrump,
len_key,embryocrrump len,
len_key,embryocrrump length,
len_key,embryocrrumplen,
len_key,embryocrrumplength,
