label,pattern
lac,cel
lac,celact
lac,cml
lac,csl
lac,lact
lac,lactacting
lac,lactaing
lac,lactataing
lac,lactate
lac,lactated
lac,lactati
lac,lactatin
lac,lactating
lac,lactation
lac,lactational
lac,lactatng
lac,lactatting
lac,nursing
lac,oel
lac,oelact
lac,oml
lac,osl
lac,suckling
not,no
not,non
not,non-
not,none
not,not
not,not-
not_lac,cen
not_lac,cmn
not_lac,csn
not_lac,oen
not_lac,omn
not_lac,osn
post,after
post,finished
post,just recently finished
post,post
post,recent
post,recently
post,recently finished
