label,pattern,replace
bad,in pouch
bad,pouch
bad,determ
bad,determine
bad,determined
intrinsic,ad,adult
intrinsic,ad.,adult
intrinsic,ads,adult
intrinsic,ads.,adult
intrinsic,adult,adult
intrinsic,adult young,young adult
intrinsic,adulte,adult
intrinsic,adultes,adult
intrinsic,adults,adult
intrinsic,adultyoung,young adult
intrinsic,chick,chick
intrinsic,chicks,chick
intrinsic,fledgeling,fledgeling
intrinsic,fledgelings,fledgeling
intrinsic,flegling,fledgeling
intrinsic,fleglings,fledgeling
intrinsic,fry,fry
intrinsic,hatched,hatchling
intrinsic,hatchling,hatchling
intrinsic,hatchlings,hatchling
intrinsic,imago,imago
intrinsic,imagos,imago
intrinsic,imm,immature
intrinsic,imm.,immature
intrinsic,immature,immature
intrinsic,immatures,immature
intrinsic,imms,immature
intrinsic,imms.,immature
intrinsic,jeune,juvenile
intrinsic,jeunes,juvenile
intrinsic,juv,juvenile
intrinsic,juv.,juvenile
intrinsic,juvenile,juvenile
intrinsic,juveniles,juvenile
intrinsic,juvs,juvenile
intrinsic,juvs.,juvenile
intrinsic,juvénile,juvenile
intrinsic,juvéniles,juvenile
intrinsic,larva,larval
intrinsic,larvae,larval
intrinsic,larval,larval
intrinsic,larvals,larval
intrinsic,larve,larval
intrinsic,larves,larval
intrinsic,leptocephale,leptocephalus
intrinsic,leptocephales,leptocephalus
intrinsic,leptocephalus,leptocephalus
intrinsic,mature,mature
intrinsic,matures,mature
intrinsic,metamorph,metamorph
intrinsic,metamorphs,metamorph
intrinsic,neonate,neonate
intrinsic,neonates,neonate
intrinsic,nestling,nestling
intrinsic,nestlings,nestling
intrinsic,nulliparous,nulliparous
intrinsic,over winter,over-winter
intrinsic,over-winter,over-winter
intrinsic,overwinter,over-winter
intrinsic,premetamorph,premetamorph
intrinsic,premetamorphs,premetamorph
intrinsic,sub-adult,subadult
intrinsic,sub-adults,subadult
intrinsic,subad,subadult
intrinsic,subad.,subadult
intrinsic,subads,subadult
intrinsic,subads.,subadult
intrinsic,subadult,subadult
intrinsic,subadulte,subadult
intrinsic,subadultes,subadult
intrinsic,subadults,subadult
intrinsic,tadpole,tadpole
intrinsic,tadpoles,tadpole
intrinsic,têtard,tadpole
intrinsic,yearling,yearling
intrinsic,yearlings,yearling
intrinsic,yg,young
intrinsic,yg.,young
intrinsic,ygs,young
intrinsic,ygs.,young
intrinsic,yolk sac,yolk sac
intrinsic,yolksac,yolk sac
intrinsic,young,young
intrinsic,young adult,young adult
intrinsic,young of the year,young of the year
intrinsic,young of the-year,young of the year
intrinsic,young of theyear,young of the year
intrinsic,young of-the year,young of the year
intrinsic,young of-the-year,young of the year
intrinsic,young of-theyear,young of the year
intrinsic,young ofthe year,young of the year
intrinsic,young ofthe-year,young of the year
intrinsic,young oftheyear,young of the year
intrinsic,young-of the year,young of the year
intrinsic,young-of the-year,young of the year
intrinsic,young-of theyear,young of the year
intrinsic,young-of-the year,young of the year
intrinsic,young-of-the-year,young of the year
intrinsic,young-of-theyear,young of the year
intrinsic,young-ofthe year,young of the year
intrinsic,young-ofthe-year,young of the year
intrinsic,young-oftheyear,young of the year
intrinsic,youngadult,young adult
intrinsic,youngof the year,young of the year
intrinsic,youngof the-year,young of the year
intrinsic,youngof theyear,young of the year
intrinsic,youngof-the year,young of the year
intrinsic,youngof-the-year,young of the year
intrinsic,youngof-theyear,young of the year
intrinsic,youngofthe year,young of the year
intrinsic,youngofthe-year,young of the year
intrinsic,youngoftheyear,young of the year
key,age
key,age class
key,ageclass
key,life stage
key,life stage remark
key,life stage remarks
key,life stageremark
key,life stageremarks
key,lifestage
key,lifestage remark
key,lifestage remarks
key,lifestageremark
key,lifestageremarks
key_prefix,age in
key_prefix,agein
