label,pattern
count_label,#
count_label,no
count_label,number
eq,=
eq,eq
eq,equal
eq,equals
eq,is
modifier,ing
modifier,inguinal
modifier,pec
modifier,pectoral
modifier,pr
none,no
none,non
none,none
none,not
side,both
side,both side
side,both sides
side,each side
side,f
side,fem
side,female
side,females
side,l
side,l side
side,l side
side,l x
side,l.
side,l. side
side,l. x
side,left
side,left side
side,lf
side,lf side
side,lf.
side,lf. side
side,lft
side,lft side
side,lft.
side,lft. side
side,lt
side,lt.
side,lx
side,on left
side,on right
side,r
side,r side
side,r x
side,r.
side,r. side
side,r. x
side,right
side,right side
side,rt
side,rt side
side,rt.
side,rt. side
side,rx
side,rx.
visible,bare
visible,conspicuous
visible,definite
visible,faint
visible,hidden
visible,invisible
visible,prominen
visible,prominent
visible,seen
visible,visible
