label,pattern
nipple,nipples
nipple,nipple
nipple,nip
nipple,nipp
nipple,nips
nipple,nipps
nipple,teats
nipple,teat
nipple,mammae
nipple,mammary
nipple,mammery
nipple,mammaries
nipple,mamm
nipple,mammae glands
nipple,mammary glands
nipple,mammery glands
nipple,mammaries glands
nipple,mamm gland
nipple,mammae gland
nipple,mammary gland
nipple,mammery gland
nipple,mammaries gland
nipple,mamm gland
nipple,mammae tissue
nipple,mammary tissue
nipple,mammery tissue
nipple,mammaries tissue
nipple,mamm tissue
nipple,mammae tisssue
nipple,mammary tisssue
nipple,mammery tisssue
nipple,mammaries tisssue
nipple,mamm tisssue
