label,pattern
active,active
active,inactive
albicans,alb
albicans,alb.
albicans,albicans
and,&
and,and
both,both
both,both side
both,both sides
both,each side
color,black
color,brown
color,dark black
color,dark brown
color,dark pigmented
color,dark pink
color,dark red
color,dark white
color,darkblack
color,darkbrown
color,darkpigmented
color,darkpink
color,darkred
color,darkwhite
color,light black
color,light brown
color,light pigmented
color,light pink
color,light red
color,light white
color,lightblack
color,lightbrown
color,lightpigmented
color,lightpink
color,lightred
color,lightwhite
color,pale black
color,pale brown
color,pale pigmented
color,pale pink
color,pale red
color,pale white
color,paleblack
color,palebrown
color,palepigmented
color,palepink
color,palered
color,palewhite
color,pigmented
color,pink
color,red
color,white
corpus,c
corpus,c.
corpus,c.l
corpus,c.l.
corpus,cl
corpus,cl.
corpus,cor
corpus,cor.
corpus,corp
corpus,corp.
corpus,corpora
corpus,corpus
covered,coverage
covered,covered
covered,covered in
cyst,bodies
cyst,cancer
cyst,cancerous
cyst,cyst
cyst,cysts
destroyed,destroy
destroyed,destroyed
developed,dev
developed,dev none
developed,dev: none
developed,dev:none
developed,devel
developed,develope
developed,developed
developed,development
developed,fully dev
developed,fully devel
developed,fully develope
developed,fully developed
developed,fully development
developed,fully devnone
developed,fully indist
developed,fully undev
developed,fully undevel
developed,fully undevelope
developed,fully undeveloped
developed,fully-dev
developed,fully-devel
developed,fully-develope
developed,fully-developed
developed,fully-development
developed,fully-devnone
developed,fully-indist
developed,fully-undev
developed,fully-undevel
developed,fully-undevelope
developed,fully-undeveloped
developed,incompletely dev
developed,incompletely devel
developed,incompletely develope
developed,incompletely developed
developed,incompletely development
developed,incompletely devnone
developed,incompletely indist
developed,incompletely undev
developed,incompletely undevel
developed,incompletely undevelope
developed,incompletely undeveloped
developed,incompletely-dev
developed,incompletely-dev none
developed,incompletely-dev: none
developed,incompletely-dev:none
developed,incompletely-devel
developed,incompletely-develope
developed,incompletely-developed
developed,incompletely-development
developed,incompletely-devnone
developed,incompletely-indist
developed,incompletely-undev
developed,incompletely-undevel
developed,incompletely-undevelope
developed,incompletely-undeveloped
developed,indist
developed,part dev
developed,part devel
developed,part develope
developed,part developed
developed,part development
developed,part devnone
developed,part indist
developed,part undev
developed,part undevel
developed,part undevelope
developed,part undeveloped
developed,part-dev
developed,part-devel
developed,part-develope
developed,part-developed
developed,part-development
developed,part-devnone
developed,part-indist
developed,part-undev
developed,part-undevel
developed,part-undevelope
developed,part-undeveloped
developed,partially dev
developed,partially devel
developed,partially develope
developed,partially developed
developed,partially development
developed,partially devnone
developed,partially indist
developed,partially undev
developed,partially undevel
developed,partially undevelope
developed,partially undeveloped
developed,partially-dev
developed,partially-devel
developed,partially-develope
developed,partially-developed
developed,partially-development
developed,partially-indist
developed,partially-undev
developed,partially-undevel
developed,partially-undevelope
developed,partially-undeveloped
developed,undev
developed,undevel
developed,undevelope
developed,undeveloped
developed,well dev
developed,well devel
developed,well develope
developed,well developed
developed,well development
developed,well indist
developed,well undev
developed,well undevel
