label,pattern
none,no
none,non
none,non-
none,none
none,not
none,no evidence
none,no evidence of
none,not evident
none,not visibly
not_pregnant,post parous
not_pregnant,post-parous
not_pregnant,postparous
post,after
post,post
post,post-
pregnant,gravid
pregnant,multiparous
pregnant,nulliparous
pregnant,parous
pregnant,preg
pregnant,pregaant
pregnant,preganant
pregnant,pregnan
pregnant,pregnancies
pregnant,pregnancy
pregnant,pregnant
pregnant,primiparous
probably,appear
probably,appears
probably,evidence
probably,evident
probably,possible
probably,possibly
probably,prob
probably,probably
probably,visible
probably,visibly
recent,prev
recent,previously
recent,recent
recent,recently
recent,was
stage,early
stage,late
stage,mid
