label,pattern,factor_cm
key_with_units,calcar len in millimeters,0.1
key_with_units,calcar len in mm,0.1
key_with_units,calcar len inmillimeters,0.1
key_with_units,calcar len inmm,0.1
key_with_units,calcar length in millimeters,0.1
key_with_units,calcar length in mm,0.1
key_with_units,calcar length inmillimeters,0.1
key_with_units,calcar length inmm,0.1
key_with_units,calcar lengthin millimeters,0.1
key_with_units,calcar lengthin mm,0.1
key_with_units,calcar lengthinmillimeters,0.1
key_with_units,calcar lengthinmm,0.1
key_with_units,calcar lenin millimeters,0.1
key_with_units,calcar lenin mm,0.1
key_with_units,calcar leninmillimeters,0.1
key_with_units,calcar leninmm,0.1
key_with_units,calcarlen in millimeters,0.1
key_with_units,calcarlen in mm,0.1
key_with_units,calcarlen inmillimeters,0.1
key_with_units,calcarlen inmm,0.1
key_with_units,calcarlength in millimeters,0.1
key_with_units,calcarlength in mm,0.1
key_with_units,calcarlength inmillimeters,0.1
key_with_units,calcarlength inmm,0.1
key_with_units,calcarlengthin millimeters,0.1
key_with_units,calcarlengthin mm,0.1
key_with_units,calcarlengthinmillimeters,0.1
key_with_units,calcarlengthinmm,0.1
key_with_units,calcarlenin millimeters,0.1
key_with_units,calcarlenin mm,0.1
key_with_units,calcarleninmillimeters,0.1
key_with_units,calcarleninmm,0.1
len_key,ca,
len_key,cal,
len_key,ca.,
len_key,calcar,
len_key,calcar l,
len_key,calcar l.,
len_key,calcar len,
len_key,calcar len.,
len_key,calcar length,
len_key,calcarl,
len_key,calcarl.,
len_key,calcarlen,
len_key,calcarlen.,
len_key,calcarlength,
