label,pattern,factor_cm
key_with_units,forearm len in millimeters,0.1
key_with_units,forearm len in mm,0.1
key_with_units,forearm len inmillimeters,0.1
key_with_units,forearm len inmm,0.1
key_with_units,forearm length in millimeters,0.1
key_with_units,forearm length in mm,0.1
key_with_units,forearm length inmillimeters,0.1
key_with_units,forearm length inmm,0.1
key_with_units,forearm lengthin millimeters,0.1
key_with_units,forearm lengthin mm,0.1
key_with_units,forearm lengthinmillimeters,0.1
key_with_units,forearm lengthinmm,0.1
key_with_units,forearm lenin millimeters,0.1
key_with_units,forearm lenin mm,0.1
key_with_units,forearm leninmillimeters,0.1
key_with_units,forearm leninmm,0.1
key_with_units,forearmlen in millimeters,0.1
key_with_units,forearmlen in mm,0.1
key_with_units,forearmlen inmillimeters,0.1
key_with_units,forearmlen inmm,0.1
key_with_units,forearmlength in millimeters,0.1
key_with_units,forearmlength in mm,0.1
key_with_units,forearmlength inmillimeters,0.1
key_with_units,forearmlength inmm,0.1
key_with_units,forearmlengthin millimeters,0.1
key_with_units,forearmlengthin mm,0.1
key_with_units,forearmlengthinmillimeters,0.1
key_with_units,forearmlengthinmm,0.1
key_with_units,forearmlenin millimeters,0.1
key_with_units,forearmlenin mm,0.1
key_with_units,forearmleninmillimeters,0.1
key_with_units,forearmleninmm,0.1
len_key,fa,
len_key,fal,
len_key,fa.,
len_key,for a,
len_key,for a.,
len_key,for.a,
len_key,for.a.,
len_key,fora,
len_key,fora.,
len_key,fore a,
len_key,fore a.,
len_key,fore.a,
len_key,fore.a.,
len_key,forea,
len_key,forea.,
len_key,forearm,
len_key,forearm l,
len_key,forearm l.,
len_key,forearm len,
len_key,forearm len.,
len_key,forearm length,
len_key,forearml,
len_key,forearml.,
len_key,forearmlen,
len_key,forearmlen.,
len_key,forearmlength,
