label,pattern,replace
abbrev,t,testes
abbrev,ta,testes
abbrev,tes,testes
abdominal,abd,abdominal
abdominal,abdom,abdominal
abdominal,abdomin,abdominal
abdominal,abdominal,abdominal
and,&,
and,and,
both,both,
both,both side,
both,both sides,
both,each side,
descended,decend,descended
descended,decended,descended
descended,deend,descended
descended,deended,descended
descended,des,descended
descended,desc,descended
descended,descend,descended
descended,descended,descended
descended,desend,descended
descended,desended,descended
descended,undes,undescended
descended,undesc,undescended
descended,undecend,undescended
descended,undecended,undescended
descended,undeend,undescended
descended,undeended,undescended
descended,undescend,undescended
descended,undescended,undescended
descended,undesend,undescended
descended,undesended,undescended
descended,tnd,testes undescended
descended,tns,testes undescended
descended,td,testes descended
fully,complete,completely
fully,completely,completely
fully,fully,
fully,incomplete,incompletely
fully,incompletely,incompletely
left,l,left
left,l side,left
left,l x,left
left,l.,left
left,l. side,left
left,l. x,left
left,left,left
left,left side,left
left,lf,left
left,lf side,left
left,lf.,left
left,lf. side,left
left,lft,left
left,lft side,left
left,lft.,left
left,lft. side,left
left,lt,left
left,lt.,left
left,lx,left
left,on left,left
non,no,
non,non,
non,not,
non,semi,
non,sub,
right,on right,right
right,r,right
right,r side,right
right,r x,right
right,r.,right
right,r. side,right
right,r. x,right
right,right,right
right,right side,right
right,rt,right
right,rt side,right
right,rt.,right
right,rt. side,right
right,rx,right
right,rx.,right
partially,barely,
partially,part,partially
partially,partially,partially
partially,pt,partially
partially,slight,slightly
partially,slightly,slightly
scrotal,scr,scrotal
scrotal,scrot,scrotal
scrotal,scrotal,scrotal
scrotal,scrotum,scrotal
scrotal,nonscrotal,non-scrotal
scrotal,non-scrotal,non-scrotal
scrotal,ns,non-scrotal
scrotal,nscr,non-scrotal
scrotal,ts,scrotal
size,enlarge,enlarged
size,enlarge size,enlarged
size,enlarge sized,enlarged
size,enlarge+,enlarged
size,enlarged,enlarged
size,enlarged size,enlarged
size,enlarged sized,enlarged
size,enlarged+,enlarged
size,enlargedsize,enlarged
size,enlargedsized,enlarged
size,enlargesize,enlarged
size,enlargesized,enlarged
size,extended,extended
size,extended size,extended
size,extended sized,extended
size,extended+,extended
size,extendedsize,extended
size,extendedsized,extended
size,large,large
size,large size,large
size,large sized,large
size,large+,large
size,largesize,large
size,largesized,large
size,lg,large
size,lg size,large
size,lg sized,large
size,lg+,large
size,lgsize,large
size,lgsized,large
size,med,medium
size,med size,medium
size,med sized,medium
size,med+,medium
size,medium,medium
size,medium size,medium
size,medium sized,medium
size,medium+,medium
size,mediumsize,medium
size,mediumsized,medium
size,medsize,medium
size,medsized,medium
size,minute,minute
size,minute size,minute
size,minute sized,minute
size,minute+,minute
size,minutesize,minute
size,minutesized,minute
size,mod,moderate
size,mod size,moderate
size,mod sized,moderate
size,mod+,moderate
size,moderate,moderate
size,moderate size,moderate
size,moderate sized,moderate
size,moderate+,moderate
size,moderatesize,moderate
size,moderatesized,moderate
size,modsize,moderate
size,modsized,moderate
size,shrunk,shrunken
size,shrunk size,shrunken
size,shrunk sized,shrunken
size,shrunk+,shrunken
size,shrunken,shrunken
size,shrunken size,shrunken
size,shrunken sized,shrunken
size,shrunken+,shrunken
size,shrunkensize,shrunken
size,shrunkensized,shrunken
size,shrunksize,shrunken
size,shrunksized,shrunken
size,sm,small
size,sm size,small
size,sm sized,small
size,sm+,small
size,sm-med,small-medium
size,sm-med size,small-medium
size,sm-med sized,small-medium
size,sm-med+,small-medium
size,sm-medsize,small-medium
size,sm-medsized,small-medium
size,small,small
size,small size,small
size,small sized,small
size,small+,small
size,smallsize,small
size,smallsized,small
size,smsize,small
size,smsized,small
size,swollen,swollen
size,swollen size,swollen
size,swollen sized,swollen
size,swollen+,swollen
size,tiny,tiny
size,tiny size,tiny
size,tiny sized,tiny
size,tiny+,tiny
size,tinysize,tiny
size,tinysized,tiny
size,unobservable,unobservable
size,unobservable size,unobservable
size,unobservable+,unobservable
size,very moderate size,moderate
size,very moderate sizedmoderate,moderate
size,very moderate+moderate,moderate
size,very moderatesizemoderate,moderate
size,very moderatesizedmoderate,moderate
size,very modsizemoderate,moderate
size,very modsizedmoderate,moderate
size,very shrunk,shrunken
size,very shrunk size,shrunken
size,very shrunk sized,shrunken
size,very shrunk+,shrunken
size,very shrunken,shrunken
size,very shrunken size,shrunken
size,very shrunken sized,shrunken
size,very shrunken+,shrunken
size,very shrunkensize,shrunken
size,very shrunkensized,shrunken
size,very shrunksize,shrunken
size,very shrunksized,shrunken
size,very sm,small
size,very sm size,small
size,very sm sized,small
size,very sm+,small
size,very sm-med,small-medium
size,very sm-med size,small-medium
size,very sm-med sized,small-medium
size,very sm-med+,small-medium
size,very sm-medsize,small-medium
size,very sm-medsized,small-medium
size,very small,small
size,very small size,small
size,very small sized,small
size,very small+,small
size,very smallsize,small
size,very smallsized,small
size,very smsize,small
size,very smsized,small
size,very swollen,swollen
size,very swollen size,swollen
size,very swollen sized,swollen
size,very swollen+,swollen
size,very swollensize,swollen
size,very swollensized,swollen
size,very tiny,tiny
size,very tiny size,tiny
size,very tiny sized,tiny
size,very tiny+,tiny
size,very tinysize,tiny
size,very tinysized,tiny
size,very unobservable,unobservable
size,very unobservable size,unobservable
size,very unobservable+,unobservable
testes,test,testes
testes,testes,testes
testes,testicle,testes
testes,testicles,testes
testes,testis,testes
