label,pattern,factor_cm,measured_with
key_with_units,thumb len in millimeters,0.1,
key_with_units,thumb len in mm,0.1,
key_with_units,thumb len inmillimeters,0.1,
key_with_units,thumb len inmm,0.1,
key_with_units,thumb length in millimeters,0.1,
key_with_units,thumb length in mm,0.1,
key_with_units,thumb length inmillimeters,0.1,
key_with_units,thumb length inmm,0.1,
key_with_units,thumb lengthin millimeters,0.1,
key_with_units,thumb lengthin mm,0.1,
key_with_units,thumb lengthinmillimeters,0.1,
key_with_units,thumb lengthinmm,0.1,
key_with_units,thumb lenin millimeters,0.1,
key_with_units,thumb lenin mm,0.1,
key_with_units,thumb leninmillimeters,0.1,
key_with_units,thumb leninmm,0.1,
key_with_units,thumblen in millimeters,0.1,
key_with_units,thumblen in mm,0.1,
key_with_units,thumblen inmillimeters,0.1,
key_with_units,thumblen inmm,0.1,
key_with_units,thumblength in millimeters,0.1,
key_with_units,thumblength in mm,0.1,
key_with_units,thumblength inmillimeters,0.1,
key_with_units,thumblength inmm,0.1,
key_with_units,thumblengthin millimeters,0.1,
key_with_units,thumblengthin mm,0.1,
key_with_units,thumblengthinmillimeters,0.1,
key_with_units,thumblengthinmm,0.1,
key_with_units,thumblenin millimeters,0.1,
key_with_units,thumblenin mm,0.1,
key_with_units,thumbleninmillimeters,0.1,
key_with_units,thumbleninmm,0.1,
len_key,thumb length with claw,,claw
len_key,thumblengthwithclaw,,claw
len_key,thumb with claw,,claw
len_key,thumbwithclaw,,claw
len_key,thumb,,
len_key,thumb len,,
len_key,thumb length,,
len_key,thumblen,,
len_key,thumblength,,
