label,pattern,factor_cm
key_with_units,tibia len in millimeters,0.1
key_with_units,tibia len in mm,0.1
key_with_units,tibia len inmillimeters,0.1
key_with_units,tibia len inmm,0.1
key_with_units,tibia len millimeters,0.1
key_with_units,tibia len mm,0.1
key_with_units,tibia length in millimeters,0.1
key_with_units,tibia length in mm,0.1
key_with_units,tibia length inmillimeters,0.1
key_with_units,tibia length inmm,0.1
key_with_units,tibia length millimeters,0.1
key_with_units,tibia length mm,0.1
key_with_units,tibia lengthin millimeters,0.1
key_with_units,tibia lengthin mm,0.1
key_with_units,tibia lengthinmillimeters,0.1
key_with_units,tibia lengthinmm,0.1
key_with_units,tibia lengthmillimeters,0.1
key_with_units,tibia lengthmm,0.1
key_with_units,tibia lenin millimeters,0.1
key_with_units,tibia lenin mm,0.1
key_with_units,tibia leninmillimeters,0.1
key_with_units,tibia leninmm,0.1
key_with_units,tibia lenmillimeters,0.1
key_with_units,tibia lenmm,0.1
key_with_units,tibialen in millimeters,0.1
key_with_units,tibialen in mm,0.1
key_with_units,tibialen inmillimeters,0.1
key_with_units,tibialen inmm,0.1
key_with_units,tibialen millimeters,0.1
key_with_units,tibialen mm,0.1
key_with_units,tibialength in millimeters,0.1
key_with_units,tibialength in mm,0.1
key_with_units,tibialength inmillimeters,0.1
key_with_units,tibialength inmm,0.1
key_with_units,tibialength millimeters,0.1
key_with_units,tibialength mm,0.1
key_with_units,tibialengthin millimeters,0.1
key_with_units,tibialengthin mm,0.1
key_with_units,tibialengthinmillimeters,0.1
key_with_units,tibialengthinmm,0.1
key_with_units,tibialengthmillimeters,0.1
key_with_units,tibialengthmm,0.1
key_with_units,tibialenin millimeters,0.1
key_with_units,tibialenin mm,0.1
key_with_units,tibialeninmillimeters,0.1
key_with_units,tibialeninmm,0.1
key_with_units,tibialenmillimeters,0.1
key_with_units,tibialenmm,0.1
len_key,tib,
len_key,tib len,
len_key,tib length,
len_key,tibia,
len_key,tibia len,
len_key,tibia length,
len_key,tibialen,
len_key,tibialength,
len_key,tiblen,
len_key,tiblength,
