label,pattern,factor_cm
key_with_units,tragus len in millimeters,0.1
key_with_units,tragus len in mm,0.1
key_with_units,tragus len inmillimeters,0.1
key_with_units,tragus len inmm,0.1
key_with_units,tragus len millimeters,0.1
key_with_units,tragus len mm,0.1
key_with_units,tragus length in millimeters,0.1
key_with_units,tragus length in mm,0.1
key_with_units,tragus length inmillimeters,0.1
key_with_units,tragus length inmm,0.1
key_with_units,tragus length millimeters,0.1
key_with_units,tragus length mm,0.1
key_with_units,tragus lengthin millimeters,0.1
key_with_units,tragus lengthin mm,0.1
key_with_units,tragus lengthinmillimeters,0.1
key_with_units,tragus lengthinmm,0.1
key_with_units,tragus lengthmillimeters,0.1
key_with_units,tragus lengthmm,0.1
key_with_units,tragus lenin millimeters,0.1
key_with_units,tragus lenin mm,0.1
key_with_units,tragus leninmillimeters,0.1
key_with_units,tragus leninmm,0.1
key_with_units,tragus lenmillimeters,0.1
key_with_units,tragus lenmm,0.1
key_with_units,traguslen in millimeters,0.1
key_with_units,traguslen in mm,0.1
key_with_units,traguslen inmillimeters,0.1
key_with_units,traguslen inmm,0.1
key_with_units,traguslen millimeters,0.1
key_with_units,traguslen mm,0.1
key_with_units,traguslength in millimeters,0.1
key_with_units,traguslength in mm,0.1
key_with_units,traguslength inmillimeters,0.1
key_with_units,traguslength inmm,0.1
key_with_units,traguslength millimeters,0.1
key_with_units,traguslength mm,0.1
key_with_units,traguslengthin millimeters,0.1
key_with_units,traguslengthin mm,0.1
key_with_units,traguslengthinmillimeters,0.1
key_with_units,traguslengthinmm,0.1
key_with_units,traguslengthmillimeters,0.1
key_with_units,traguslengthmm,0.1
key_with_units,traguslenin millimeters,0.1
key_with_units,traguslenin mm,0.1
key_with_units,tragusleninmillimeters,0.1
key_with_units,tragusleninmm,0.1
key_with_units,traguslenmillimeters,0.1
key_with_units,traguslenmm,0.1
len_key,tr,
len_key,trag,
len_key,trag l,
len_key,trag len,
len_key,trag length,
len_key,tragi,
len_key,tragi l,
len_key,tragi len,
len_key,tragi length,
len_key,tragil,
len_key,tragilen,
len_key,tragilength,
len_key,tragl,
len_key,traglen,
len_key,traglength,
len_key,tragus,
len_key,tragus l,
len_key,tragus len,
len_key,tragus length,
len_key,tragusl,
len_key,traguslen,
len_key,traguslength,
len_key,trl,
